Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0102010000,81.386798917,22.3072795671,13.085109141199998,1.20939895456,4.1224310944800004,15.988889478900001
0102020000,72.4581719313,17.4942098323,10.636755446699999,0.0,4.1224310944800004,15.988889478900001
0102030000,89.20798107530001,22.919144505100004,14.444594825,1.5040553286000002,4.1224310944800004,15.988889478900001
0102040000,79.76837099,18.545592047,11.4394442674,1.9933809958700002,4.1224310944800004,15.988889478900001
0102050000,118.43728882100001,27.876798193499997,16.9876133778,2.59362397,12.367293283399999,24.9413748627
0102060000,141.819573203,28.0620136879,19.369385765,21.939702629499997,12.367293283399999,24.9413748627
0102070000,199.81859861799998,29.0364928017,18.6991827394,21.620283696799998,24.7345865669,70.7195625826
0102080000,215.440512673,29.1823112491,18.854872236600002,15.025568845499999,37.1018798503,92.3937384068
0102090000,214.42199266900002,29.2784848399,20.262540450899998,9.01227315511,37.1018798503,104.43494719799999
0102100000,217.959252556,29.425014001799997,21.497013240900003,4.83287259243,37.1018798503,116.47615598899999
0102110000,212.607223253,29.7688537531,22.946831445300003,3.1783769187599997,37.1018798503,116.47615598899999
0102120000,215.522658087,30.3033758216,28.7652892466,2.11173514526,37.1018798503,116.47615598899999
0102130000,212.137686756,30.795778166999998,37.5440792429,1.34484620445,37.1018798503,104.43494719799999
0102140000,233.56507729400002,31.249551053,46.808687720900004,0.9827655662100001,37.1018798503,116.47615598899999
0102150000,237.65604200200002,31.4502630001,51.228284037600005,0.7046850212729999,37.1018798503,116.47615598899999
0102160000,233.711920642,31.261788610500002,47.6388307974,0.574142979402,37.1018798503,116.47615598899999
0102170000,228.559467676,30.461154294,40.8205759499,0.691977462319,37.1018798503,116.47615598899999
0102180000,230.01945463799998,30.0109915125,30.6276513801,1.0503995665299999,37.1018798503,116.47615598899999
0102190000,137.50455106200002,27.4460235361,22.1628213071,0.0,24.7345865669,47.5788473902
0102200000,139.072848047,28.212656401,21.163516479800002,0.0,24.7345865669,47.5788473902
0102210000,115.693461552,26.6793906712,19.3997695027,0.0,12.367293283399999,38.6892022431
0102220000,94.51445333219999,20.1197826611,14.3907166201,0.0,12.367293283399999,27.0668015668
0102230000,71.6315954741,17.5818250168,12.737156790999999,0.0,4.1224310944800004,15.988889478900001
0102240000,84.3220066423,22.743914135900003,16.0829532529,0.124111944734,4.1224310944800004,15.988889478900001
0103010000,76.6809048384,18.4579768624,12.530763800799999,0.546659137684,4.1224310944800004,15.988889478900001
0103020000,90.69881324079999,22.3058382131,15.416679828,0.406168752897,4.1224310944800004,15.988889478900001
0103030000,81.9307344251,18.3703616779,12.0779934134,1.19269190156,4.1224310944800004,15.988889478900001
0103040000,93.7105791118,22.9629520973,14.7693009261,1.9015599960799998,4.1224310944800004,15.988889478900001
0103050000,119.774444746,27.876798193499997,15.691174618800002,2.52069781762,12.367293283399999,24.9413748627
0103060000,141.211136509,28.0633162427,17.5717579651,22.023910421700002,12.367293283399999,24.9413748627
0103070000,199.96323428099998,29.0373771094,16.8889998601,22.169766223899998,24.7345865669,70.7195625826
0103080000,215.157657889,29.1804348497,17.0504458913,15.684600811500001,37.1018798503,92.3937384068
0103090000,209.52439411400002,29.2705641071,18.9967028881,9.65168729659,37.1018798503,104.43494719799999
0103100000,213.31814296599998,29.421821565300004,22.1971587331,4.9581034254,37.1018798503,116.47615598899999
0103110000,214.03961229599997,29.7712171331,27.07715118,2.94002283195,37.1018798503,116.47615598899999
0103120000,220.253320384,30.3631054148,33.8683759378,1.7842305029400003,37.1018798503,116.47615598899999
0103130000,215.176013983,30.8746619273,40.7767205818,1.14911201537,37.1018798503,104.43494719799999
0103140000,240.69537404599998,31.3474800307,49.96229703270001,0.8480967692720001,37.1018798503,116.47615598899999
0103150000,249.66166270099998,31.5724865904,52.569318663199994,0.612081871232,37.1018798503,116.47615598899999
0103160000,249.149731842,31.397478508200003,52.312866067,0.467220805016,37.1018798503,116.47615598899999
0103170000,237.24161416099997,30.5596565731,41.8335667467,0.615627664883,37.1018798503,116.47615598899999
