Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,81.386798917,22.3072795671,13.0851091412,1.20939895456,4.12243109448,15.9888894789,95.2997205632,92.3079901454,2.97173041782,0.02
 01/02  02:00:00,72.4581719313,17.4942098323,10.6367554467,0.0,4.12243109448,15.9888894789,81.7929242372,78.8011938194,2.97173041782,0.02
 01/02  03:00:00,89.2079810753,22.9191445051,14.444594825,1.5040553286,4.12243109448,15.9888894789,102.286674385,99.2949439669,2.97173041782,0.02
 01/02  04:00:00,79.76837099,18.545592047,11.4394442674,1.99338099587,4.12243109448,15.9888894789,83.0481435994,80.0564131816,2.97173041782,0.02
 01/02  05:00:00,118.437288821,27.8767981935,16.9876133778,2.59362397,12.3672932834,24.9413748627,117.186364592,112.213480562,4.9528840297,0.02
 01/02  06:00:00,141.819573203,28.0620136879,19.369385765,21.9397026295,12.3672932834,24.9413748627,182.070184275,177.097300245,4.9528840297,0.02
 01/02  07:00:00,199.818598618,29.0364928017,18.6991827394,21.6202836968,24.7345865669,70.7195625826,148.503117946,138.577349887,9.90576805939,0.02
 01/02  08:00:00,215.440512673,29.1823112491,18.8548722366,15.0255688455,37.1018798503,92.3937384068,129.05416704,119.128398981,9.90576805939,0.02
 01/02  09:00:00,214.421992669,29.2784848399,20.2625404509,9.01227315511,37.1018798503,104.434947198,119.616398048,109.690629989,9.90576805939,0.02
 01/02  10:00:00,217.959252556,29.4250140018,21.4970132409,4.83287259243,37.1018798503,116.476155989,120.23814899,101.705257638,9.90576805939,8.62712329316
 01/02  11:00:00,212.607223253,29.7688537531,22.9468314453,3.17837691876,37.1018798503,116.476155989,105.239806732,95.3140386729,9.90576805939,0.02
 01/02  12:00:00,215.522658087,30.3033758216,28.7652892466,2.11173514526,37.1018798503,116.476155989,108.506758396,89.9677211902,9.90576805939,8.63326914674
 01/02  13:00:00,212.137686756,30.795778167,37.5440792429,1.34484620445,37.1018798503,104.434947198,95.687535639,85.7617675796,9.90576805939,0.02
 01/02  14:00:00,233.565077294,31.249551053,46.8086877209,0.98276556621,37.1018798503,116.476155989,92.0889849116,82.1632168522,9.90576805939,0.02
 01/02  15:00:00,237.656042002,31.4502630001,51.2282840376,0.704685021273,37.1018798503,116.476155989,98.6982232507,80.1607156342,9.90576805939,8.6317395571
 01/02  16:00:00,233.711920642,31.2617886105,47.6388307974,0.574142979402,37.1018798503,116.476155989,90.7345774232,80.8088093639,9.90576805939,0.02
 01/02  17:00:00,228.559467676,30.461154294,40.8205759499,0.691977462319,37.1018798503,116.476155989,105.308414199,86.7767108967,9.90576805939,8.62593524279
 01/02  18:00:00,230.019454638,30.0109915125,30.6276513801,1.05039956653,37.1018798503,116.476155989,101.035443496,91.1096754371,9.90576805939,0.02
 01/02  19:00:00,137.504551062,27.4460235361,22.1628213071,0.0,24.7345865669,47.5788473902,78.8730241066,73.9001400769,4.9528840297,0.02
 01/02  20:00:00,139.072848047,28.212656401,21.1635164798,0.0,24.7345865669,47.5788473902,85.7356194015,80.7627353718,4.9528840297,0.02
 01/02  21:00:00,115.693461552,26.6793906712,19.3997695027,0.0,12.3672932834,38.6892022431,99.3625932395,96.3708628217,2.97173041782,0.02
 01/02  22:00:00,94.5144533322,20.1197826611,14.3907166201,0.0,12.3672932834,27.0668015668,81.279953531,78.2882231132,2.97173041782,0.02
 01/02  23:00:00,71.6315954741,17.5818250168,12.737156791,0.0,4.12243109448,15.9888894789,76.4801836403,73.4884532225,2.97173041782,0.02
 01/02  24:00:00,84.3220066423,22.7439141359,16.0829532529,0.124111944734,4.12243109448,15.9888894789,106.493186419,94.9196255004,2.97173041782,8.60183050062
 01/03  01:00:00,76.6809048384,18.4579768624,12.5307638008,0.546659137684,4.12243109448,15.9888894789,79.5696882998,76.577957882,2.97173041782,0.02
 01/03  02:00:00,90.6988132408,22.3058382131,15.416679828,0.406168752897,4.12243109448,15.9888894789,100.2904017,97.2986712819,2.97173041782,0.02
 01/03  03:00:00,81.9307344251,18.3703616779,12.0779934134,1.19269190156,4.12243109448,15.9888894789,81.3141869392,78.3224565214,2.97173041782,0.02
 01/03  04:00:00,93.7105791118,22.9629520973,14.7693009261,1.90155999608,4.12243109448,15.9888894789,102.83856635,99.846835932,2.97173041782,0.02
 01/03  05:00:00,119.774444746,27.8767981935,15.6911746188,2.52069781762,12.3672932834,24.9413748627,115.904728309,110.931844279,4.9528840297,0.02
 01/03  06:00:00,141.211136509,28.0633162427,17.5717579651,22.0239104217,12.3672932834,24.9413748627,182.616776566,177.643892537,4.9528840297,0.02
 01/03  07:00:00,199.963234281,29.0373771094,16.8889998601,22.1697662239,24.7345865669,70.7195625826,149.212229026,139.286460966,9.90576805939,0.02
 01/03  08:00:00,215.157657889,29.1804348497,17.0504458913,15.6846008115,37.1018798503,92.3937384068,129.820962931,119.895194872,9.90576805939,0.02
 01/03  09:00:00,209.524394114,29.2705641071,18.9967028881,9.65168729659,37.1018798503,104.434947198,120.684247758,110.758479698,9.90576805939,0.02
 01/03  10:00:00,213.318142966,29.4218215653,22.1971587331,4.9581034254,37.1018798503,116.476155989,121.026043796,102.493108227,9.90576805939,8.6271675095
 01/03  11:00:00,214.039612296,29.7712171331,27.07715118,2.94002283195,37.1018798503,116.476155989,105.425519288,95.4997512289,9.90576805939,0.02
 01/03  12:00:00,220.253320384,30.3631054148,33.8683759378,1.78423050294,37.1018798503,116.476155989,108.06041844,89.521339845,9.90576805939,8.6333105357
 01/03  13:00:00,215.176013983,30.8746619273,40.7767205818,1.14911201537,37.1018798503,104.434947198,95.2211156772,85.2953476178,9.90576805939,0.02
 01/03  14:00:00,240.695374046,31.3474800307,49.9622970327,0.848096769272,37.1018798503,116.476155989,91.3026937787,81.3769257193,9.90576805939,0.02
 01/03  15:00:00,249.661662701,31.5724865904,52.5693186632,0.612081871232,37.1018798503,116.476155989,97.3866745499,78.84912235,9.90576805939,8.63178414053
 01/03  16:00:00,249.149731842,31.3974785082,52.312866067,0.467220805016,37.1018798503,116.476155989,89.4646080762,79.5388400168,9.90576805939,0.02
 01/03  17:00:00,237.241614161,30.5596565731,41.8335667467,0.615627664883,37.1018798503,116.476155989,104.409228146,85.8775599222,9.90576805939,8.62590016427
 01/03  18:00:00,234.794621293,30.0636914887,29.5154227584,1.02000190325,37.1018798503,116.476155989,100.386464487,90.4606964278,9.90576805939,0.02
 01/03  19:00:00,145.352464402,27.4460235361,21.4839086141,0.0,24.7345865669,47.5788473902,78.3359382667,73.363054237,4.9528840297,0.02
 01/03  20:00:00,144.671717282,28.212656401,19.4759845836,0.0,24.7345865669,47.5788473902,85.6166534077,80.643769378,4.9528840297,0.02
 01/03  21:00:00,121.773387193,26.6793906712,18.098001573,0.0,12.3672932834,38.6892022431,99.3149158095,96.3231853916,2.97173041782,0.02
 01/03  22:00:00,97.3376954575,20.1197826611,13.7397054935,0.0,12.3672932834,27.0668015668,81.2990762311,78.3073458133,2.97173041782,0.02
 01/03  23:00:00,73.091090944,17.6694402014,12.1413076564,0.0,4.12243109448,15.9888894789,76.7492950188,73.757564601,2.97173041782,0.02
 01/03  24:00:00,86.0875983986,22.7439141359,15.3270969425,0.195256755265,4.12243109448,15.9888894789,106.4989342,94.9253698061,2.97173041782,8.60183397567
 01/04  01:00:00,79.8670831784,18.8084376007,12.4127169298,0.953241874647,4.12243109448,15.9888894789,79.3299473148,76.338216897,2.97173041782,0.02
 01/04  02:00:00,91.3312104525,21.8677622903,15.1804407763,0.0,4.12243109448,15.9888894789,100.224083488,97.2323530705,2.97173041782,0.02
 01/04  03:00:00,82.497990997,18.5893996393,11.7748462021,1.41847230621,4.12243109448,15.9888894789,81.3843922399,78.3926618221,2.97173041782,0.02
 01/04  04:00:00,98.8804685341,23.1819900587,15.2183142496,2.4628930956,4.12243109448,15.9888894789,102.413746236,99.4220158178,2.97173041782,0.02
 01/04  05:00:00,124.516630626,27.4095172092,16.632094969,1.70589271345,12.3672932834,24.9413748627,115.54664612,110.573762091,4.9528840297,0.02
 01/04  06:00:00,154.279186873,28.5164090039,19.4844748606,25.903855441,12.3672932834,24.9413748627,180.930851266,175.957967236,4.9528840297,0.02
 01/04  07:00:00,209.503305924,29.0172790417,20.6265938245,20.1984973784,24.7345865669,70.7195625826,146.955422186,137.029654127,9.90576805939,0.02
 01/04  08:00:00,227.321740076,29.1856441563,22.006510204,13.7604315384,37.1018798503,92.3937384068,126.912742826,116.986974766,9.90576805939,0.02
 01/04  09:00:00,223.284038927,29.3089676333,24.359165416,7.31115677476,37.1018798503,104.434947198,117.106355312,107.180587253,9.90576805939,0.02
 01/04  10:00:00,226.307816725,29.5298353628,29.8446910085,3.57049014178,37.1018798503,116.476155989,117.514391137,98.9814156454,9.90576805939,8.62720743247
 01/04  11:00:00,224.981684784,29.8741426868,36.6941117908,1.81983054053,37.1018798503,116.476155989,103.339599014,93.413830955,9.90576805939,0.02
 01/04  12:00:00,226.54546706,29.8466374322,39.2833725678,1.24186012601,37.1018798503,116.476155989,111.993761792,93.4546364554,9.90576805939,8.63335727709
 01/04  13:00:00,221.782170073,30.5903723528,45.9046663004,0.797139968265,37.1018798503,104.434947198,97.4001358473,87.4743677879,9.90576805939,0.02
 01/04  14:00:00,244.896017185,31.2928226633,54.5520643878,0.521044205714,37.1018798503,116.476155989,91.2203940978,81.2946260384,9.90576805939,0.02
 01/04  15:00:00,251.289939319,31.7381518747,57.8260555242,0.330759911861,37.1018798503,116.476155989,96.4442650264,77.9067348175,9.90576805939,8.6317621495
 01/04  16:00:00,253.252778588,31.6935655797,57.9227709787,0.204927050282,37.1018798503,116.476155989,87.9943786603,78.0686106009,9.90576805939,0.02
 01/04  17:00:00,235.044738626,30.73289856,45.5688646456,0.41315692229,37.1018798503,116.476155989,103.810093936,85.2783632506,9.90576805939,8.62596262574
 01/04  18:00:00,231.060993685,30.1628852776,31.1349575226,0.759111803859,37.1018798503,116.476155989,100.283437192,90.3576691322,9.90576805939,0.02
 01/04  19:00:00,144.382539418,27.4460235361,21.9770541118,0.0,24.7345865669,47.5788473902,77.8706830464,72.8977990167,4.9528840297,0.02
 01/04  20:00:00,144.758795239,28.3221753817,19.475867786,0.0,24.7345865669,47.5788473902,85.1527258675,80.1798418378,4.9528840297,0.02
 01/04  21:00:00,121.684977303,26.6793906712,18.0929776239,0.0,12.3672932834,38.6892022431,98.9464884423,95.9547580245,2.97173041782,0.02
 01/04  22:00:00,97.3323411732,20.1197826611,13.7407432834,0.0,12.3672932834,27.0668015668,81.1430832972,78.1513528794,2.97173041782,0.02
 01/04  23:00:00,73.6564268452,17.4942098323,11.8113544066,0.0,4.12243109448,15.9888894789,85.1606520709,73.5887771915,2.97173041782,8.60014446157
 01/04  24:00:00,86.6793013304,23.0943748742,14.1677183981,0.354463635197,4.12243109448,15.9888894789,98.4262620357,95.4345316179,2.97173041782,0.02
 01/05  01:00:00,76.591058606,18.1513237165,10.9311502607,0.521271792964,4.12243109448,15.9888894789,80.5569693362,77.5652389184,2.97173041782,0.02
 01/05  02:00:00,87.9362265958,22.3058382131,13.9145499056,0.556889584773,4.12243109448,15.9888894789,100.872252834,97.8805224157,2.97173041782,0.02
 01/05  03:00:00,79.504512296,18.7208224161,11.3315030173,1.92038402331,4.12243109448,15.9888894789,82.2997725247,79.3080421069,2.97173041782,0.02
 01/05  04:00:00,90.7319479989,22.7439141359,14.4569981125,1.75203078974,4.12243109448,15.9888894789,103.376009266,100.384278848,2.97173041782,0.02
 01/05  05:00:00,122.20053699,27.7015678244,16.7832749115,2.44423872829,12.3672932834,24.9413748627,116.117820078,111.144936048,4.9528840297,0.02
 01/05  06:00:00,151.503747127,28.5186174591,19.831263526,25.9697604289,12.3672932834,24.9413748627,180.951135997,175.978251967,4.9528840297,0.02
 01/05  07:00:00,205.778487449,29.0140713752,20.1016068829,20.7509248841,24.7345865669,70.7195625826,147.437684444,137.511916385,9.90576805939,0.02
 01/05  08:00:00,224.096493533,29.1727966472,20.1155140895,14.7198413539,37.1018798503,92.3937384068,127.865786387,117.940018328,9.90576805939,0.02
 01/05  09:00:00,215.140461706,29.2684016475,21.1370861683,9.27827255844,37.1018798503,104.434947198,119.651774906,109.726006847,9.90576805939,0.02
 01/05  10:00:00,221.795130017,29.4529257142,25.6498288014,4.3600406772,37.1018798503,116.476155989,119.590854324,101.057858796,9.90576805939,8.6272274681
 01/05  11:00:00,222.285853187,29.9379305089,31.9493865276,2.32778469921,37.1018798503,116.476155989,102.986790268,93.0610222087,9.90576805939,0.02
 01/05  12:00:00,225.658120057,30.5207193319,39.3031030689,1.21274550313,37.1018798503,116.476155989,106.425859289,87.8867486608,9.90576805939,8.63334256877
 01/05  13:00:00,229.032391803,31.0824842416,51.5289874684,0.842701249129,37.1018798503,104.434947198,93.2867386412,83.3609705818,9.90576805939,0.02
 01/05  14:00:00,250.693309605,31.5555804239,56.4175031726,0.566067771317,37.1018798503,116.476155989,89.4890669226,79.5632988632,9.90576805939,0.02
 01/05  15:00:00,247.771429331,31.7218863143,56.137793406,0.360140247241,37.1018798503,116.476155989,96.9020814619,78.3644951082,9.90576805939,8.63181829427
 01/05  16:00:00,244.429096057,31.6618325051,54.699916871,0.246217917933,37.1018798503,116.476155989,88.8502796364,78.924511577,9.90576805939,0.02
 01/05  17:00:00,222.793527259,30.6663275613,37.3662203368,0.524393966182,37.1018798503,116.476155989,104.468412434,85.9366989008,9.90576805939,8.62594547401
 01/05  18:00:00,225.121577359,30.1050099888,25.7658223854,0.920328030771,37.1018798503,116.476155989,101.122351926,91.1965838664,9.90576805939,0.02
 01/05  19:00:00,135.088477683,27.4460235361,20.2418119759,0.0,24.7345865669,47.5788473902,78.9745750165,74.0016909868,4.9528840297,0.02
 01/05  20:00:00,140.757196904,28.212656401,18.6972734505,0.0,24.7345865669,47.5788473902,85.9632804001,80.9903963704,4.9528840297,0.02
 01/05  21:00:00,121.667973618,26.6793906712,18.093726102,0.0,12.3672932834,38.6892022431,99.0616127239,96.0698823061,2.97173041782,0.02
 01/05  22:00:00,96.7086227352,20.1197826611,13.3313652898,0.0,12.3672932834,27.0668015668,81.2664078376,78.2746774198,2.97173041782,0.02
 01/05  23:00:00,72.0846153525,17.5818250168,11.5362047861,0.0,4.12243109448,15.9888894789,85.4413546386,73.8677946488,2.97173041782,8.60182957194
 01/05  24:00:00,83.4987303788,22.7439141359,14.5718090547,0.16981275459,4.12243109448,15.9888894789,98.2422653652,95.2505349474,2.97173041782,0.02
 01/06  01:00:00,73.6617605835,18.4579768624,11.4769541413,0.646011023188,4.12243109448,15.9888894789,79.9556996652,76.9639692474,2.97173041782,0.02
 01/06  02:00:00,82.8245689739,22.0868002517,14.5232904447,0.147917496982,4.12243109448,15.9888894789,101.381409779,98.3896793613,2.97173041782,0.02
 01/06  03:00:00,76.8640427321,18.3703616779,11.4752738181,1.25935180887,4.12243109448,15.9888894789,82.2189911173,79.2272606995,2.97173041782,0.02
 01/06  04:00:00,90.6026947124,22.9629520973,14.0110064198,1.99463508213,4.12243109448,15.9888894789,103.293890235,100.302159818,2.97173041782,0.02
 01/06  05:00:00,117.859445993,27.9644133781,14.7756996192,2.97990592651,12.3672932834,24.9413748627,116.808677539,111.83579351,4.9528840297,0.02
 01/06  06:00:00,142.818897595,28.0628721615,17.1917181174,22.6203484232,12.3672932834,24.9413748627,182.916076654,177.943192624,4.9528840297,0.02
 01/06  07:00:00,203.392009415,29.0365274507,17.4167609062,22.4581647574,24.7345865669,70.7195625826,148.958571541,139.032803482,9.90576805939,0.02
 01/06  08:00:00,220.791360507,29.1808874422,18.4785942094,15.6795255437,37.1018798503,92.3937384068,129.166173318,119.240405259,9.90576805939,0.02
 01/06  09:00:00,221.501587322,29.2682403152,20.7727227384,9.97466500093,37.1018798503,104.434947198,119.937409719,110.011641659,9.90576805939,0.02
 01/06  10:00:00,223.774525128,29.4042960519,22.9486151817,5.13937697916,37.1018798503,116.476155989,120.722699131,102.18967624,9.90576805939,8.62725483159
 01/06  11:00:00,214.960317168,29.5400886817,25.5887922119,3.54248176741,37.1018798503,116.476155989,108.432392391,98.5066243313,9.90576805939,0.02
 01/06  12:00:00,214.166179718,30.0251537992,27.580896611,2.32252022775,37.1018798503,116.476155989,110.826425037,92.2872576402,9.90576805939,8.63339933757
 01/06  13:00:00,200.547799527,30.4947669494,26.0481457373,1.80912900503,37.1018798503,104.434947198,97.8712915805,87.9455235211,9.90576805939,0.02
 01/06  14:00:00,211.774875006,30.8033685192,25.1890937258,1.54480443073,37.1018798503,116.476155989,103.894270512,85.3551373107,9.90576805939,8.63336514188
 01/06  15:00:00,212.248553813,30.8935291386,25.7297605689,1.38793009559,37.1018798503,116.476155989,94.1480382989,84.2222702395,9.90576805939,0.02
 01/06  16:00:00,211.997995965,30.7060960117,25.7431437456,1.31158226404,37.1018798503,116.476155989,94.8695982733,84.9438302139,9.90576805939,0.02
 01/06  17:00:00,210.96331049,30.0429680674,25.171744376,1.51201688191,37.1018798503,116.476155989,109.094756705,90.5630517311,9.90576805939,8.62593691477
 01/06  18:00:00,223.049313154,29.7752114808,22.9263707428,2.01731183321,37.1018798503,116.476155989,104.433397165,94.5076291055,9.90576805939,0.02
 01/06  19:00:00,131.824982719,27.5555425168,17.2048066916,0.0,24.7345865669,47.5788473902,82.0881402889,77.1152562592,4.9528840297,0.02
 01/06  20:00:00,131.014479894,27.9936184396,15.9562227728,0.0,24.7345865669,47.5788473902,89.3571895924,84.3843055627,4.9528840297,0.02
 01/06  21:00:00,108.895766726,26.6793906712,16.4086703524,0.0,12.3672932834,38.6892022431,102.332600126,99.3408697084,2.97173041782,0.02
 01/06  22:00:00,89.7575156546,21.4325690755,14.1378065047,0.155148961016,12.3672932834,27.0668015668,94.9251680611,83.3481037448,2.97173041782,8.60533389852
 01/06  23:00:00,64.7709285154,17.4942098323,12.6335049317,0.0,4.12243109448,15.9888894789,78.2656810851,75.2739506673,2.97173041782,0.02
 01/06  24:00:00,73.8661752017,22.8315293205,15.6249001167,0.657322036201,4.12243109448,15.9888894789,99.492256048,96.5005256301,2.97173041782,0.02
 01/07  01:00:00,66.5123868367,18.3703616779,12.4018502458,1.09696135307,4.12243109448,15.9888894789,81.5808129847,78.5890825669,2.97173041782,0.02
 01/07  02:00:00,73.9669035329,22.3058382131,16.2313378636,0.677303895272,4.12243109448,15.9888894789,101.8433596,98.8516291817,2.97173041782,0.02
 01/07  03:00:00,67.9907590415,18.6332072315,12.8605852214,1.85375318553,4.12243109448,15.9888894789,83.096362552,80.1046321342,2.97173041782,0.02
 01/07  04:00:00,75.3636345372,22.8315293205,15.8478989486,1.93178284368,4.12243109448,15.9888894789,104.468592787,101.476862369,2.97173041782,0.02
 01/07  05:00:00,83.248924322,27.7745804782,16.8693282249,3.68054192704,4.12243109448,16.0517297156,124.269620198,121.27788978,2.97173041782,0.02
 01/07  06:00:00,86.1769115793,28.4316943624,16.3517443347,6.46899923589,4.12243109448,16.0517297156,125.827113467,122.83538305,2.97173041782,0.02
 01/07  07:00:00,114.331681039,28.8697702852,17.6845903906,9.2987719021,4.12243109448,39.6058045677,106.261641816,103.269911398,2.97173041782,0.02
 01/07  08:00:00,172.881857594,28.892621292,21.8165171046,39.0986377893,12.3672932834,65.3531420225,161.241206339,156.268322309,4.9528840297,0.02
 01/07  09:00:00,164.020854494,28.8876146059,22.0469012269,31.8197099203,12.3672932834,68.2430321324,157.691631496,152.718747467,4.9528840297,0.02
 01/07  10:00:00,183.372290389,28.9136692961,22.2614579665,21.9136548467,16.4897243779,93.1370602926,145.345601346,137.400986899,7.92461444751,0.02
